,W,Psi,T
0,0.00000,0.00000,0.00000
1,0.00000,0.00000,0.00000
2,0.00000,0.00000,0.00000
3,0.00000,0.00000,0.00000
4,0.00000,0.00000,0.00000
5,0.00000,0.00000,0.00000
6,0.00000,0.00000,0.00000
7,0.00000,0.00000,0.00000
8,0.00000,0.00000,0.00000
9,0.00000,0.00000,0.00000
10,0.00000,0.00000,0.00000
11,0.00000,0.00000,0.00000
12,0.00000,0.00000,0.00000
13,0.00000,0.00000,0.00000
14,0.00000,0.00000,0.00000
15,0.00000,0.00000,0.00000
16,0.00000,0.00000,0.00000
17,0.00000,0.00000,0.00000
18,0.00000,0.00000,0.00000
19,0.00000,0.00000,0.00000
20,0.00000,0.00000,0.00000
21,0.00000,0.00000,0.00000
22,0.00000,0.00000,0.00000
23,0.00000,0.00000,0.00000
24,0.00000,0.00000,0.00000
25,0.00000,0.00000,0.00000
26,0.00000,0.00000,0.00000
27,0.00000,0.00000,0.00000
28,0.00000,0.00000,0.00000
29,0.00000,0.00000,0.00000
30,0.00000,0.00000,0.00000
31,0.00000,0.00000,0.00000
32,0.00000,0.00000,0.00000
33,0.00000,0.00000,0.00000
34,0.00000,0.00000,0.00000
35,0.00000,0.00000,0.00000
36,0.00000,0.00000,0.00000
37,0.00000,0.00000,0.00000
38,0.00000,0.00000,0.00000
39,0.00000,0.00000,0.00000
40,0.00000,0.00000,0.00000
41,0.00000,0.00000,0.00000
42,0.00000,0.00000,0.00000
43,0.00000,0.00000,0.00000
44,0.00000,0.00000,0.00000
45,0.00000,0.00000,0.00000
46,0.00000,0.00000,0.00000
47,0.00000,0.00000,0.00000
48,0.00000,0.00000,0.00000
49,0.00000,0.00000,0.00000
50,0.00000,0.00000,0.00000
51,0.00000,0.00000,0.00000
52,0.00000,0.00000,0.00000
53,0.00000,0.00000,0.00000
54,0.00000,0.00000,0.00000
55,0.00000,0.00000,0.00000
56,0.00000,0.00000,0.00000
57,0.00000,0.00000,0.00000
58,0.00000,0.00000,0.00000
59,0.00000,0.00000,0.00000
60,0.00000,0.00000,0.00000
61,0.00000,0.00000,0.00000
62,0.00000,0.00000,0.00000
63,0.00000,0.00000,0.00000
64,0.00000,0.00000,0.00000
65,0.00000,0.00000,0.00000
66,0.00000,0.00000,0.00000
67,53.19614,0.00000,1.00000
68,69.44982,0.00000,1.00000
69,0.00000,0.00000,0.00000
70,0.00000,0.00000,0.00000
71,0.00000,0.00000,0.00000
72,0.00000,0.00000,0.00000
73,0.00000,0.00000,0.00000
74,0.00000,0.00000,0.00000
75,0.00000,0.00000,0.00000
76,0.00000,0.00000,0.00000
77,0.00000,0.00000,0.00000
78,0.00000,0.00000,0.00000
79,0.00000,0.00000,0.00000
80,0.00000,0.00000,0.00000
81,0.00000,0.00000,0.00000
82,0.00000,0.00000,0.00000
83,0.00000,0.00000,0.00000
84,0.00000,0.00000,0.00000
85,0.00000,0.00000,0.00000
86,0.00000,0.00000,0.00000
87,0.00000,0.00000,0.00000
88,0.00000,0.00000,0.00000
89,0.00000,0.00000,0.00000
90,0.00000,0.00000,0.00000
91,0.00000,0.00000,0.00000
92,0.00000,0.00000,0.00000
93,0.00000,0.00000,0.00000
94,0.00000,0.00000,0.00000
